date,high,low,open,close,volume,code
2021.11.01,4.13,4.07,4.1,4.11,14085260,300026.SZ
2021.11.02,4.12,3.96,4.11,3.99,27932200,300026.SZ
2021.11.03,4.08,3.99,3.99,4.05,15411205,300026.SZ
2021.11.04,4.07,4.03,4.05,4.06,13060500,300026.SZ
2021.11.05,4.12,4.03,4.06,4.11,19989700,300026.SZ
2021.11.08,4.16,4.07,4.1,4.13,17807013,300026.SZ
2021.11.09,4.18,4.11,4.13,4.14,17285535,300026.SZ
2021.11.10,4.19,4.09,4.15,4.17,23761512,300026.SZ
2021.11.11,4.19,4.14,4.15,4.16,20114469,300026.SZ
2021.11.12,4.18,4.12,4.17,4.14,17701950,300026.SZ
2021.11.15,4.25,4.12,4.13,4.25,32858908,300026.SZ
2021.11.16,4.28,4.2,4.23,4.21,23830287,300026.SZ
2021.11.17,4.25,4.2,4.23,4.24,19988554,300026.SZ
2021.11.18,4.25,4.17,4.23,4.17,23547500,300026.SZ
2021.11.19,4.2,4.12,4.16,4.18,19174225,300026.SZ
2021.11.22,4.19,4.13,4.18,4.15,18608242,300026.SZ
2021.11.23,4.21,4.13,4.14,4.21,23743053,300026.SZ
2021.11.24,4.21,4.16,4.21,4.18,14821200,300026.SZ
2021.11.25,4.3,4.19,4.19,4.27,43797232,300026.SZ
2021.11.26,4.3,4.21,4.29,4.24,22430071,300026.SZ
2021.11.29,4.44,4.32,4.35,4.35,59682196,300026.SZ
2021.11.30,4.43,4.28,4.35,4.42,57173901,300026.SZ
2021.12.01,4.42,4.35,4.41,4.39,33602279,300026.SZ
2021.12.02,4.43,4.34,4.38,4.35,32997358,300026.SZ
2021.12.03,4.37,4.3,4.35,4.36,23610402,300026.SZ
2021.12.06,4.38,4.27,4.35,4.27,25949077,300026.SZ
2021.12.07,4.35,4.26,4.3,4.28,20583120,300026.SZ
2021.12.08,4.31,4.26,4.29,4.3,19718071,300026.SZ
2021.12.09,4.35,4.27,4.31,4.33,24007100,300026.SZ
2021.12.10,4.35,4.29,4.34,4.29,26963512,300026.SZ
2021.12.13,4.31,4.26,4.3,4.26,20479877,300026.SZ
2021.12.14,4.31,4.25,4.28,4.27,18831980,300026.SZ
2021.12.15,4.34,4.25,4.28,4.31,24486869,300026.SZ
2021.12.16,4.31,4.27,4.31,4.29,20538967,300026.SZ
2021.12.17,4.35,4.25,4.27,4.33,35166518,300026.SZ
2021.12.20,4.46,4.3,4.32,4.42,68464971,300026.SZ
2021.12.21,4.45,4.36,4.42,4.43,44629958,300026.SZ
2021.12.22,4.59,4.41,4.42,4.53,77333632,300026.SZ
2021.12.23,4.57,4.45,4.5,4.46,50981489,300026.SZ
2021.12.24,5.35,4.64,4.64,5.35,454561514,300026.SZ
2021.12.27,6.42,5.4,5.49,6.35,601253605,300026.SZ
2021.12.28,6.85,5.91,6.18,6.46,510111214,300026.SZ
2021.12.29,6.5,6.08,6.34,6.14,379740017,300026.SZ
2021.12.30,7.14,5.78,6.21,6.83,520659057,300026.SZ
2021.12.31,8.18,6.61,6.65,7.83,523472419,300026.SZ
2022.01.04,8.66,7.81,8.24,7.91,474840497,300026.SZ
2022.01.05,8.49,7.62,8.28,7.75,386847302,300026.SZ
2022.01.06,9.3,7.59,7.59,9.3,440899416,300026.SZ
2022.01.07,9.9,7.99,9.69,8.03,526322584,300026.SZ
2022.01.10,8.45,7.94,7.98,8.01,339477405,300026.SZ
2022.01.11,8.64,8.05,8.2,8.26,364321310,300026.SZ
2022.01.12,9.13,7.71,8.13,8.62,397033978,300026.SZ
2022.01.13,8.72,7.95,8.4,8.13,344154717,300026.SZ
2022.01.14,8.88,8.06,8.09,8.34,401113181,300026.SZ
2022.01.17,8.85,8.16,8.5,8.42,344896099,300026.SZ
2022.01.18,8.31,7.26,8.3,7.38,388819615,300026.SZ
2022.01.19,7.52,7.2,7.38,7.26,218450254,300026.SZ
2022.01.20,7.8,7.27,7.28,7.41,261320145,300026.SZ
2022.01.21,7.38,6.85,7.2,6.89,281413065,300026.SZ
2022.01.24,7.03,6.72,6.85,6.89,178996910,300026.SZ
2022.01.25,6.95,6.52,6.82,6.55,158399207,300026.SZ
2022.01.26,6.66,6.36,6.51,6.4,122545370,300026.SZ
2022.01.27,6.56,6.16,6.47,6.21,150397560,300026.SZ
2022.01.28,6.38,6.13,6.28,6.17,109571654,300026.SZ
2022.02.07,6.3,6.04,6.3,6.18,102395940,300026.SZ
2022.02.08,6.23,6.05,6.15,6.19,91234091,300026.SZ
2022.02.09,6.76,6.05,6.16,6.65,282783261,300026.SZ
2022.02.10,6.85,6.48,6.52,6.5,212819093,300026.SZ
2022.02.11,6.48,6.0,6.41,6.03,174948132,300026.SZ
2022.02.14,6.26,5.96,6.01,5.98,132199160,300026.SZ
2022.02.15,6.26,5.91,6.06,6.11,149213997,300026.SZ
2022.02.16,6.24,6.04,6.12,6.09,120340457,300026.SZ
2022.02.17,6.1,5.92,6.09,5.94,120066488,300026.SZ
2022.02.18,6.06,5.86,5.93,5.98,95222861,300026.SZ
2022.02.21,6.39,5.94,5.97,6.28,252575325,300026.SZ
2022.02.22,6.78,5.98,6.22,6.42,336162696,300026.SZ
2022.02.23,6.96,6.28,6.33,6.75,339263966,300026.SZ
2022.02.24,7.43,6.54,6.64,6.98,399841939,300026.SZ
2022.02.25,7.19,6.74,6.91,6.77,289620407,300026.SZ
2022.02.28,6.82,6.5,6.7,6.64,177760754,300026.SZ
2022.03.01,6.78,6.49,6.58,6.65,131153521,300026.SZ
2022.03.02,7.15,6.55,6.58,7.0,265476468,300026.SZ
2022.03.03,7.39,6.77,6.88,7.13,313379865,300026.SZ
2022.03.04,7.56,6.92,7.03,6.92,296090546,300026.SZ
2022.03.07,7.08,6.76,6.82,6.83,160515760,300026.SZ
2022.03.08,6.85,6.05,6.82,6.08,226081313,300026.SZ
2022.03.09,6.18,5.51,6.08,5.87,217940855,300026.SZ
2022.03.10,6.18,5.93,6.04,6.13,194415175,300026.SZ
2022.03.11,6.75,5.97,6.0,6.67,293728543,300026.SZ
2022.03.14,7.15,6.6,6.81,6.68,302984894,300026.SZ
2022.03.15,6.83,6.36,6.52,6.51,227091276,300026.SZ
2022.03.16,6.64,6.02,6.59,6.38,228738195,300026.SZ
2022.03.17,7.66,6.5,6.56,7.66,405237576,300026.SZ
2022.03.18,8.97,7.89,8.0,8.33,671354070,300026.SZ
2022.03.21,9.5,8.08,8.1,9.22,586150123,300026.SZ
2022.03.22,8.99,8.36,8.94,8.49,424650858,300026.SZ
2022.03.23,8.88,8.28,8.32,8.34,347254310,300026.SZ
2022.03.24,8.65,8.03,8.23,8.31,326611127,300026.SZ
2022.03.25,8.48,7.81,8.12,7.81,325266236,300026.SZ
2022.03.28,8.06,7.67,7.81,7.81,242175751,300026.SZ
2022.03.29,8.47,7.51,7.7,8.26,338744902,300026.SZ
2022.03.30,8.65,7.85,8.0,8.33,321842148,300026.SZ
2022.03.31,8.63,7.91,8.18,7.94,375932834,300026.SZ
2022.04.01,7.83,7.51,7.71,7.61,244207218,300026.SZ
2022.04.06,8.67,8.08,8.08,8.33,341702622,300026.SZ
2022.04.07,8.6,7.87,8.25,8.18,330490649,300026.SZ
2022.04.08,8.1,7.68,8.06,7.86,204484754,300026.SZ
2022.04.11,8.23,7.61,7.71,8.08,222917306,300026.SZ
2022.04.12,8.13,7.65,8.08,7.78,175097184,300026.SZ
2022.04.13,7.78,6.68,7.66,6.99,223720952,300026.SZ
2022.04.14,7.28,6.9,6.92,7.07,135000508,300026.SZ
2022.04.15,7.05,6.7,7.05,6.82,158138395,300026.SZ
2022.04.18,6.69,6.42,6.68,6.55,121612356,300026.SZ
2022.04.19,6.67,6.39,6.53,6.56,120271949,300026.SZ
2022.04.20,6.66,6.19,6.56,6.22,136189959,300026.SZ
2022.04.21,6.35,5.98,6.25,6.04,124200126,300026.SZ
2022.04.22,6.05,5.76,6.05,5.84,106188182,300026.SZ
2022.04.25,5.91,5.42,5.8,5.45,136436465,300026.SZ
2022.04.26,5.72,5.42,5.55,5.53,135525322,300026.SZ
2022.04.27,5.73,5.28,5.48,5.71,148060988,300026.SZ
2022.04.28,5.69,5.34,5.67,5.46,123625002,300026.SZ
2022.04.29,5.88,5.49,5.49,5.78,178906318,300026.SZ
2022.05.05,6.03,5.62,5.67,5.92,156389206,300026.SZ
2022.05.06,6.08,5.71,5.75,5.97,162780537,300026.SZ
2022.05.09,6.36,5.91,6.02,6.24,185667354,300026.SZ
2022.05.10,6.21,5.96,6.08,6.12,148357465,300026.SZ
2022.05.11,6.32,6.0,6.12,6.01,166044642,300026.SZ
2022.05.12,6.65,5.91,5.95,6.37,223253697,300026.SZ
2022.05.13,6.49,6.12,6.36,6.39,176578451,300026.SZ
2022.05.16,6.37,6.06,6.25,6.07,149966907,300026.SZ
2022.05.17,6.08,5.62,6.07,5.81,126826017,300026.SZ
2022.05.18,5.86,5.74,5.77,5.77,66121283,300026.SZ
